from,to, exports ,exports.log
0,1,169,2.227886705
0,43,435,2.638489257
0,2,761,2.881384657
0,3,203,2.307496038
0,4,"1,894",3.277379975
0,54,57,1.755874856
0,55,6,0.77815125
0,57,39,1.591064607
0,5,"1,789",3.252610341
0,6,"1,092",3.038222638
0,7,"79,207",4.898763565
0,8,8,0.903089987
0,9,154,2.187520721
0,10,"1,594",3.202488317
0,11,320,2.505149978
0,12,701,2.845718018
0,13,9,0.954242509
0,52,422,2.625312451
0,14,109,2.037426498
0,15,"1,296",3.112605002
0,16,"3,587",3.554731377
0,17,31,1.491361694
0,61,"2,455",3.390051496
0,18,8,0.903089987
0,19,26,1.414973348
0,20,"6,605",3.819872822
0,21,"8,145",3.910891089
0,22,262,2.418301291
0,23,747,2.873320602
0,24,"48,532",4.686028189
0,48,"2,238",3.349860082
0,56,10,1
0,25,"16,903",4.227963791
0,53,19,1.278753601
0,26,7,0.84509804
0,27,80,1.903089987
0,28,7,0.84509804
0,44,"4,542",3.65724713
0,58,50,1.698970004
0,29,445,2.648360011
0,30,5,0.698970004
0,49,35,1.544068044
0,31,962,2.983175072
0,32,225,2.352182518
0,59,54,1.73239376
0,51,545,2.736396502
0,45,"1,498",3.175511813
0,33,643,2.808210973
0,34,21,1.322219295
0,35,81,1.908485019
0,36,279,2.445604203
0,60,"3,913",3.592509848
0,50,247,2.392696953
0,37,51,1.707570176
0,38,36,1.556302501
0,39,377,2.57634135
0,41,"11,967",4.077985291
0,46,"4,939",3.693639026
0,40,659,2.818885415
0,42,"10,232",4.009960531
0,47,"2,508",3.399327532
1,0,"1,084",3.035029282
1,43,81,1.908485019
1,2,"2,637",3.42111013
1,3,"1,362",3.134177108
1,4,"1,028",3.011993115
1,54,2,0.301029996
1,55,20,1.301029996
1,57,13,1.113943352
1,5,"1,679",3.225050696
1,6,"10,466",4.01978073
1,7,"5,663",3.753046562
1,8,141,2.149219113
1,9,"8,342",3.921270186
1,10,"68,375",4.834897339
1,11,912,2.959994838
1,12,"2,734",3.43679851
1,13,135,2.130333768
1,52,6,0.77815125
1,14,802,2.904174368
1,15,"7,152",3.854427506
1,16,"4,719",3.673849977
1,17,492,2.691965103
1,61,77,1.886490725
1,18,"2,229",3.348110068
1,19,"12,990",4.113609151
1,20,296,2.471291711
1,21,917,2.962369336
1,22,574,2.758911892
1,23,"12,729",4.104794286
1,24,"1,869",3.271609301
1,48,279,2.445604203
1,56,51,1.707570176
1,25,"1,501",3.176380692
1,53,9,0.954242509
1,26,240,2.380211242
1,27,420,2.62324929
1,28,201,2.303196057
1,44,466,2.668385917
1,58,5,0.698970004
1,29,900,2.954242509
1,30,192,2.283301229
1,49,14,1.146128036
1,31,"2,670",3.426511261
1,32,842,2.925312091
1,59,25,1.397940009
1,51,266,2.424881637
1,45,190,2.278753601
1,33,"5,614",3.749272408
1,34,394,2.595496222
1,35,"3,533",3.548143637
1,36,"2,853",3.455301772
