from,to,value
0,2,4.340927183
1,7,3.542467576
1,11,2.743548136
2,0,3.432957788
2,21,3.589162093
3,2,2.072168915
3,4,2.055085679
3,15,2.14236293
3,33,2.282978432
4,3,2.143663219
4,15,1.789729053
4,33,1.577458743
5,15,2.568722852
5,17,2.689270045
6,2,2.529415307
6,27,2.361136466
6,29,2.456001916
7,11,2.968605919
7,22,3.043381181
7,24,3.016890279
8,0,3.112695681
8,2,3.000232406
9,2,1.928426305
9,3,2.123228124
9,22,2.026388155
10,2,2.46601099
10,17,3.169697713
11,17,3.378136166
12,14,1.678119379
12,33,0.893879991
13,22,2.587574024
13,26,2.773994481
14,24,1.537554326
15,2,2.228775708
15,20,2.421147743
15,33,2.125809008
16,2,2.856512502
16,29,3.087679015
18,2,2.327977982
18,13,2.203832201
18,22,2.299018948
19,2,2.754575408
19,13,2.491236622
20,2,3.629929228
20,13,3.366590428
21,27,2.24331481
21,29,2.470638883
21,30,2.163244948
21,33,2.253159533
22,0,2.47228004
22,13,2.573095332
22,20,2.499290383
22,29,2.541826727
23,0,1.370342926
23,17,1.29457669
24,20,2.056767934
24,27,2.24936241
24,29,2.068466306
25,19,2.090720574
25,20,2.592241733
26,13,2.621882809
26,20,2.734489784
26,29,2.72899048
26,30,2.725703959
27,29,3.333762393
27,30,3.066666768
28,27,2.742916775
28,29,2.877007721
29,27,3.425791893
31,29,1.278695918
31,32,2.065440929
32,0,1.840040425
32,30,1.922147211
33,29,3.127430478
